# Logfile created on 2019-06-27 16:23:50 -0300 by logger.rb/66358
D, [2019-06-27T16:23:54.484081 #9981] DEBUG -- : Início do teste do cenário efetuar_cadastro_com_sucesso...
I, [2019-06-27T16:23:54.485895 #9981]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T16:23:56.074290 #9981]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T16:23:56.119505 #9981]  INFO -- : Aguardou a existência do elemento buttonSignUp
I, [2019-06-27T16:23:56.575431 #9981]  INFO -- : Clicou no botão buttonSignUp
I, [2019-06-27T16:24:03.379005 #9981]  INFO -- : Preencheu o campo fullNameEditText com o valor Marlisa
I, [2019-06-27T16:24:09.696100 #9981]  INFO -- : Preencheu o campo sign_up_edit_cpf com o valor 69605314460
I, [2019-06-27T16:24:16.237036 #9981]  INFO -- : Preencheu o campo sign_up_edit_birthday com o valor 06051955
I, [2019-06-27T16:24:22.788253 #9981]  INFO -- : Preencheu o campo emailEditText com o valor milan.koch@gmail.com
I, [2019-06-27T16:24:29.186770 #9981]  INFO -- : Preencheu o campo passwordEditText com o valor Senha123!
I, [2019-06-27T16:24:29.796259 #9981]  INFO -- : Verificando se existe o elemento sendButton
I, [2019-06-27T16:24:30.534386 #9981]  INFO -- : Aguardou a existência do elemento sendButton
I, [2019-06-27T16:24:30.750968 #9981]  INFO -- : Clicou no botão sendButton
I, [2019-06-27T16:24:30.751777 #9981]  INFO -- : Verificando se existe o elemento signUpEmail
I, [2019-06-27T16:24:32.033965 #9981]  INFO -- : Cadastrei usuário com sucesso - Email: milan.koch@gmail.com - Senha: Senha123!
I, [2019-06-27T16:24:32.747010 #9981]  INFO -- : Está buscando o texto do elemento signUpEmail
I, [2019-06-27T16:24:32.896372 #9981]  INFO -- : Está buscando o texto do elemento title
I, [2019-06-27T16:24:35.790324 #9981]  INFO -- : Fim do Teste!
